database_name;docf;hidden_channels;num_layers;p_dropout;loss_function;version;loss_test;micro_test;acc_test;epoch_convergence
20ng;None;20;2;0,0;ce;1;0,7233133316040039;0,7836844500166037;0,7835522558537978;1499
20ng;None;20;2;0,0;fl;1;0,740228533744812;0,7665461203635945;0,7681324957167333;487
20ng;None;20;2;0,2;ce;1;1,1102832555770874;0,6585101167184683;0,6681896059394632;960
20ng;None;20;2;0,2;fl;1;0,746433675289154;0,6955744353066196;0,6950314106225014;1231
20ng;None;20;3;0,0;ce;1;1,0949829816818237;0,7723300767822654;0,7675613934894346;113
20ng;None;20;3;0,0;fl;1;0,6322314739227295;0,7146263190582024;0,7167332952598515;732
20ng;None;20;3;0,2;ce;1;1,630925178527832;0,6001302698330879;0,6013706453455169;1329
20ng;None;20;3;0,2;fl;1;0,9827275276184082;0,6029255944762055;0,6036550542547116;797
20ng;None;20;4;0,0;ce;1;1,3736190795898438;0,6361189511470312;0,6784694460308395;69
20ng;None;20;4;0,0;fl;1;0,8708871006965637;0,5326494562110625;0,5802398629354655;92
20ng;None;20;4;0,2;ce;1;1,8212809562683105;0,6623338658495588;0,6550542547115934;743
20ng;None;20;4;0,2;fl;1;1,1127034425735474;0,5853621972656423;0,5910908052541405;296
20ng;None;40;2;0,0;ce;1;0,7060350775718689;0,7864842514690932;0,78697886921759;1100
20ng;None;40;2;0,0;fl;1;0,7453098297119141;0,7266698533638745;0,728726442033124;241
20ng;None;40;2;0,2;ce;1;0,9547348618507385;0,6941450737870248;0,6933181039406053;536
20ng;None;40;2;0,2;fl;1;0,7586333155632019;0,6566045578835886;0,6510565391205025;546
20ng;None;40;3;0,0;ce;1;1,327010989189148;0,6703041417505833;0,6824671616219303;56
20ng;None;40;3;0,0;fl;1;0,8437098264694214;0,723592141799609;0,7430039977155911;63
20ng;None;40;3;0,2;ce;1;1,3777943849563599;0,6564309747164537;0,6533409480296973;1460
20ng;None;40;3;0,2;fl;1;0,798888087272644;0,6268921330637992;0,626499143346659;156
20ng;None;40;4;0,0;ce;1;1,1992173194885254;0,7279219383164188;0,7407195888063963;48
20ng;None;40;4;0,0;fl;1;0,553162157535553;0,7606874126110527;0,7612792689891491;147
20ng;None;40;4;0,2;ce;1;1,6862211227416992;0,6123933759764167;0,6190748143917761;633
20ng;None;40;4;0,2;fl;1;1,218235969543457;0,6048905273595957;0,6059394631639063;1376
20ng;None;100;2;0,0;ce;1;0,7528559565544128;0,7878367553540047;0,7858366647629925;1261
20ng;None;100;2;0,0;fl;1;0,6323657035827637;0,7868642638008262;0,7841233580810966;784
20ng;None;100;2;0,2;ce;1;0,9818974733352661;0,676621136737213;0,6887492861222159;87
20ng;None;100;2;0,2;fl;1;0,6954466104507446;0,7040641126413449;0,6984580239862935;1273
20ng;None;100;3;0,0;ce;1;1,2089048624038696;0,7618775088544449;0,7652769845802398;27
20ng;None;100;3;0,0;fl;1;0,6271038055419922;0,7907669746085829;0,7904054825813821;45
20ng;None;100;3;0,2;ce;1;0,9793387055397034;0,6862611002111055;0,6841804683038264;84
20ng;None;100;3;0,2;fl;1;0,7607755064964294;0,6480715161059509;0,6436322101656197;64
20ng;None;100;4;0,0;ce;1;0,7669797539710999;0,770483652442134;0,7698458023986293;1432
20ng;None;100;4;0,0;fl;1;0,5744715332984924;0,7810176847584352;0,7806967447173044;1498
20ng;None;100;4;0,2;ce;1;1,117501139640808;0,6221480939596781;0,6219303255282695;45
20ng;None;100;4;0,2;fl;1;0,8507218956947327;0,6513698444173417;0,6476299257567104;54
20ng;merge;20;2;0,0;ce;1;0,6948916912078857;0,7968929539899825;0,7972587093089663;1412
20ng;merge;20;2;0,0;fl;1;0,47992369532585144;0,7940875619014554;0,7944031981724728;739
20ng;merge;20;2;0,2;ce;1;0,7278959155082703;0,7976756811213309;0,797829811536265;869
20ng;merge;20;2;0,2;fl;1;0,49848413467407227;0,795954242641895;0,7955454026270703;737
20ng;merge;20;3;0,0;ce;1;0,695937991142273;0,7972958420344339;0,797829811536265;643
20ng;merge;20;3;0,0;fl;1;0,4839121699333191;0,7937306203161547;0,7932609937178755;1016
20ng;merge;20;3;0,2;ce;1;0,7491357326507568;0,7939317578790827;0,7944031981724728;1286
20ng;merge;20;3;0,2;fl;1;0,5059228539466858;0,7953887406036951;0,7955454026270703;1239
20ng;merge;20;4;0,0;ce;1;0,7965085506439209;0,7954844171731809;0,7966876070816676;1210
20ng;merge;20;4;0,0;fl;1;0,5042614936828613;0,7960166650543614;0,7966876070816676;870
20ng;merge;20;4;0,2;ce;1;0,7255864143371582;0,7953012861066443;0,7961165048543689;993
20ng;merge;20;4;0,2;fl;1;0,5143297910690308;0,7914216262148058;0,7915476870359794;1379
20ng;merge;40;2;0,0;ce;1;0,6777539849281311;0,7953641714313141;0,7961165048543689;296
20ng;merge;40;2;0,0;fl;1;0,47566062211990356;0,7952673197163913;0,7955454026270703;405
20ng;merge;40;2;0,2;ce;1;0,7092370390892029;0,7969466334821901;0,7966876070816676;1087
20ng;merge;40;2;0,2;fl;1;0,5027129650115967;0,7956302200525227;0,7955454026270703;1218
20ng;merge;40;3;0,0;ce;1;0,691321849822998;0,7944726457675281;0,7949743003997716;155
20ng;merge;40;3;0,0;fl;1;0,4801926016807556;0,7966662704870727;0,7972587093089663;349
20ng;merge;40;3;0,2;ce;1;0,7140040397644043;0,7997688979147591;0,8001142204454598;873
20ng;merge;40;3;0,2;fl;1;0,4990718960762024;0,7961869575828603;0,7966876070816676;330
20ng;merge;40;4;0,0;ce;1;0,700269877910614;0,7993507660831473;0,8001142204454598;412
20ng;merge;40;4;0,0;fl;1;0,480236291885376;0,7977910569956301;0,7984009137635637;353
20ng;merge;40;4;0,2;ce;1;0,7646709680557251;0,7992948885801062;0,799543118218161;1308
20ng;merge;40;4;0,2;fl;1;0,5079070329666138;0,7976534665993062;0,7984009137635637;1488
20ng;merge;100;2;0,0;ce;1;0,7010083794593811;0,7971993380377911;0,797829811536265;775
20ng;merge;100;2;0,0;fl;1;0,4685823917388916;0,7933459392488931;0,7938320959451742;752
20ng;merge;100;2;0,2;ce;1;0,7050328254699707;0,8009763972696183;0,8006853226727584;859
